"commune","type","infraction","code_reg","code_dep","lat","lng","ville_ref"
"Villing","P",17.189999999999998,41,"57",49.2816215974,6.63107602679,"Boulay-Moselle"
"Villorceau","P",27.580000000000002,24,"45",47.8000109233,1.59585305756,"Orléans"
"Ségur-le-Château","P",14.059999999999999,74,"19",45.427657429,1.30428297034,"Brive-la-Gaillarde"
"Seich","P",20.43,73,"65",42.9964233845,0.500255289157,"Bagnères-de-Bigorre"
"Seignelay","P",26.180000000000003,26,"89",47.9021528321,3.59422336095,"Auxerre"
"Seilh","P",35.41,73,"31",43.6900953799,1.35675007167,"Toulouse Mirail"
"Seilhan","P",25.51,73,"31",43.0527421754,0.576818914765,"Saint-Gaudens"
"Seine-Port","P",51.43,11,"77",48.5514696661,2.55439654626,"Melun"
"Séligné","P",18.869999999999997,54,"79",46.1398320782,-0.270834484675,"Niort"
"Selles","P",24.41,43,"70",47.9720841546,6.09157358569,"Lure"
"Selongey","P",17.409999999999997,26,"21",47.5949698633,5.19951068819,"Is-sur-Tille"
"Semallé","P",18.04,25,"61",48.4735348664,0.15478366717,"Alençon-Argentan"
"Sembadel","P",15.779999999999998,83,"43",45.2716430233,3.69436180182,"Brioude"
"Séméac","P",46.71,73,"65",43.2246169766,0.109046031378,"Tarbes"
"Semerville","P",16.57,24,"41",47.9221840524,1.38601749184,"Vendôme"
"Semilly","P",14.799999999999999,21,"52",48.2505992806,5.46434760219,"Chaumont"
"Semoine","P",31.4,21,"10",48.6735130864,4.09378069924,"Rosières-près-Troyes"
"Semoussac","P",29.24,54,"17",45.3899137022,-0.624747123124,"Jonzac"
"Semur-en-Brionnais","P",15.540000000000001,26,"71",46.2756396728,4.09014154762,"Charolles"
"Senaide","P",28.84,41,"88",47.9694031418,5.80408230955,"Neufchâteau"
"Sénarens","P",44.88,73,"31",43.3519005165,0.97595832154,"Muret"
"Senaux","P",22.529999999999998,73,"81",43.7659564788,2.61566505316,"Castres"
"Sendets","P",26.759999999999998,72,"33",44.4268508366,-0.0945303098396,"Langon"
"Sénestis","P",31.93,72,"47",44.4216441879,0.237961024607,"Marmande"
"Seninghem","P",12.52,31,"62",50.6984836133,2.02702639439,"Saint-Omer"
"Senlisse","P",33.65,11,"78",48.6854188568,1.97174310378,"Rambouillet"
"Sennecey-le-Grand","P",19.060000000000002,26,"71",46.6369174742,4.8906553054,"Chalon-sur-Saône"
"Sennevoy-le-Bas","P",31.3,26,"89",47.8008894092,4.30964285017,"Avallon"
"Senonges","P",28.84,41,"88",48.1425352488,6.05690466716,"Neufchâteau"
"Senozan","P",24.58,26,"71",46.3967416331,4.86457842244,"Mâcon"
"Sens-Beaujeu","P",24.410000000000004,24,"18",47.334144202,2.68875381486,"Bourges"
"Sentenac-d'Oust","P",28.049999999999997,73,"09",42.8662042438,1.14021822329,"Saint-Girons"
"Sépeaux","P",36.32,26,"89",47.943114412,3.23185765848,"Sens"
"Sept-Forges","P",15.580000000000002,25,"61",48.4943250329,-0.54304507239,"Domfront"
"Septèmes-les-Vallons","P",96.44999999999999,93,"13",43.3934944571,5.3808040555,"Marseille"
"Septmonts","P",24.39,22,"02",49.3384597812,3.36210276584,"Soissons"
"Septvaux","P",27.84,22,"02",49.5697880929,3.38679579518,"Laon"
"Sequehart","P",21.38,22,"02",49.9320260511,3.34096519199,"Saint-Quentin"
"Serans","P",18.04,25,"61",48.7316585662,-0.150911442444,"Alençon-Argentan"
"Serazereux","P",30.520000000000003,24,"28",48.5949002026,1.43635782347,"Dreux"
"Serbonnes","P",36.32,26,"89",48.3301048545,3.20867774959,"Sens"
"Serdinya","P",34.37,91,"66",42.5762876689,2.32227751946,"Prades"
"Sérempuy","P",18.650000000000002,73,"32",43.7615192489,0.821224548581,"Auch"
"Sérézin-de-la-Tour","P",33.57,82,"38",45.5546305415,5.34018745003,"Bourgoin-Jallieu"
"Sergeac","P",17.16,72,"24",44.9987285651,1.11549602522,"Sarlat-la-Canéda"
"Sergy","P",32.849999999999994,22,"02",49.1828178666,3.57092215608,"Château-Thierry"
"Sérignac-sur-Garonne","P",21.96,72,"47",44.2156168834,0.494137756364,"Agen"
"Sérigny","P",15.8,54,"86",46.9268926391,0.316255199259,"Châtellerault"
"Sermaise","P",34.09,11,"91",48.5310930707,2.08893971049,"Etampes"
"Sermange","P",24.46,43,"39",47.1972336994,5.64802600593,"Dole"
"Sermentizon","P",26.98,83,"63",45.7640786806,3.48570267684,"Thiers"
"Sermizelles","P",31.3,26,"89",47.5406742954,3.80001863719,"Avallon"
"Séron","P",17.720000000000002,73,"65",43.3227244461,-0.0918151618276,"Tarbes"
"Serquigny","P",26.09,23,"27",49.1148167511,0.707564259681,"Bernay"
"Serra-di-Fiumorbo","P",25.52,94,"2B",41.9716708905,9.33015262464,"Ghisonaccia"
"Serre-les-Sapins","P",25.520000000000003,43,"25",47.2393718046,5.9349388655,"Besançon"
"Serres-Gaston","P",18.24,72,"40",43.6658680832,-0.522780253556,"Mont-de-Marsan"
"Serriera","P",21.32,94,"2A",42.307049386,8.73249922249,"Ajaccio"
"Serrigny-en-Bresse","P",21.25,26,"71",46.8249036808,5.12195396385,"Louhans"
"Sers","P",19.700000000000003,73,"65",42.9129140504,0.0773911881732,"Argelès-Gazost"
"Serval","P",24.39,22,"02",49.352069984,3.68270184221,"Soissons"
"Servas","P",32.11,91,"30",44.1561490633,4.19299074511,"Alès"
"Serviès","P",22.529999999999998,73,"81",43.6653039824,2.03248661491,"Castres"
"Sauzé-Vaussais","P",18.869999999999997,54,"79",46.1223913244,0.111211623906,"Niort"
"Sauzon","P",29.17,53,"56",47.353750697,-3.23035128949,"Lorient"
"Savennes","P",11.25,74,"23",46.1090525957,1.88611350462,"Guéret"
"Saverne","P",14.68,42,"67",48.7402250066,7.34206238199,"Saverne"
"Savianges","P",19.060000000000002,26,"71",46.6899032737,4.60174880086,"Chalon-sur-Saône"
