"Ville","CP","Adresse","Longitude","Latitude","Type","Effectif","superficie","population","noReg","noDept","gn2013","gd2013","pn2013"
"SAINT-MARCEL","71380",,4.9,46.783333,"PM",2,1298.0,1.0,53,"71",730,415,607
"SALORNAY-SUR-GUYE","71250",,4.6,46.516667,"PM",1,1122.0,0.8,26,"71",730,415,607
"SANVIGNES-LES-MINES","71410",,4.3,46.666667,"PM",1,3554.0,4.4,26,"71",730,415,607
"SENNECEY-LE-GRAND","71240",,4.866667,46.65,"PM",1,2670.0,3.1,26,"71",730,415,607
"TORCY","71210",,4.45,46.766667,"PM",2,534.0,0.2,31,"71",1059,595,3483
"TORCY","71210",,4.45,46.766667,"PM",2,534.0,0.2,31,"71",730,415,607
"TORCY","71210",,4.45,46.766667,"PM",2,614.0,22.2,11,"71",730,415,607
"TORCY","71210",,4.45,46.766667,"PM",2,614.0,22.2,11,"71",920,463,3773
"TORCY","71210",,4.45,46.766667,"PM",2,1964.0,3.1,26,"71",730,415,607
"TOURNUS","71700",,4.9,46.566667,"PM",4,1460.0,5.9,26,"71",730,415,607
"VENDENESSE-SUR-ARROUX","71130",,4.066667,46.633333,"PM",1,1610.0,0.6,26,"71",730,415,607
"ALLONNES","72700",,0.15,47.966667,"PM",1,1814.0,11.1,52,"72",645,379,560
"ALLONNES","72700",,0.15,47.966667,"PM",1,1026.0,0.3,24,"72",555,305,329
"ALLONNES","72700",,0.15,47.966667,"PM",1,1026.0,0.3,24,"72",645,379,560
"ALLONNES","72700",,0.15,47.966667,"PM",1,3647.0,3.0,52,"72",711,405,663
"ALLONNES","72700",,0.15,47.966667,"PM",1,3647.0,3.0,52,"72",645,379,560
"ARNAGE","72230",,0.183333,47.933333,"PM",1,1086.0,5.1,52,"72",645,379,560
"LA CHARTRE-SUR-LE-LOIR","72340",,0.583333,47.733333,"PM",1,874.0,1.5,52,"72",645,379,560
"LA SUZE-SUR-SARTHE","72210",,0.033333,47.9,"PM",1,2147.0,4.1,52,"72",645,379,560
"LE BAILLEUL","72200",,-0.158333,47.766667,"PM",1,2773.0,1.2,52,"72",645,379,560
"LE LUDE","72800",,0.15,47.65,"PM",1,4614.0,4.0,52,"72",645,379,560
"LE MANS","72100",,0.2,48.0,"PM",16,5260.0,142.3,52,"72",645,379,560
"MALICORNE-SUR-SARTHE","72270",,-0.083333,47.816667,"PM",1,1518.0,2.0,52,"72",645,379,560
"MAMERS","72600",,0.383333,48.35,"PM",1,515.0,5.5,52,"72",645,379,560
"MAYET","72360",,0.283333,47.766667,"PM",1,5415.0,3.2,52,"72",645,379,560
"MULSANNE","72230",,0.25,47.9,"PM",1,1527.0,4.4,52,"72",645,379,560
"NOYEN-SUR-SARTHE","72430",,-0.1,47.866667,"PM",1,4287.0,2.6,52,"72",645,379,560
"RUAUDIN","72230",,0.266667,47.95,"PM",2,1387.0,3.3,52,"72",645,379,560
"SAINT-CALAIS","72120",,0.75,47.916667,"PM",1,2281.0,3.5,52,"72",645,379,560
"SOLESMES","72300",,-0.3,47.85,"PM",1,2330.0,4.6,31,"72",1378,809,6854
"SOLESMES","72300",,-0.3,47.85,"PM",1,2330.0,4.6,31,"72",645,379,560
"SOLESMES","72300",,-0.3,47.85,"PM",1,1154.0,1.4,52,"72",645,379,560
"AIGUEBLANCHE","73260",,6.5,45.5,"PM",2,1957.0,3.1,82,"73",632,315,487
"AIME","73210",,6.65,45.55,"PM",7,5059.0,3.5,82,"73",632,315,487
"AIX-LES-BAINS","73100",,5.916667,45.7,"PM",16,1578.0,26.8,82,"73",632,315,487
"ALBENS","73410",,5.95,45.783333,"PM",1,1537.0,3.2,82,"73",632,315,487
"ALBERTVILLE","73200",,6.383333,45.683333,"PM",7,1730.0,19.0,82,"73",632,315,487
"LES ALLUES","73550",,6.55,45.433333,"PM",18,8610.0,1.9,82,"73",632,315,487
"AUSSOIS","73500",,6.75,45.233333,"PM",1,4271.0,0.7,82,"73",632,315,487
"BARBERAZ","73000",,5.933333,45.55,"PM",1,366.0,4.6,82,"73",632,315,487
"BASSENS","73000",,5.933333,45.583333,"PM",1,1030.0,6.9,72,"73",1377,824,3175
"BASSENS","73000",,5.933333,45.583333,"PM",1,1030.0,6.9,72,"73",632,315,487
"BASSENS","73000",,5.933333,45.583333,"PM",1,307.0,3.7,82,"73",632,315,487
"BELLENTRE","73210",,6.716667,45.566667,"PM",1,2324.0,1.0,82,"73",632,315,487
"BOURG-SAINT-MAURICE","73700",,6.766667,45.616667,"PM",15,18180.0,7.7,82,"73",632,315,487
"LE BOURGET-DU-LAC","73370",,5.866667,45.65,"PM",3,2228.0,4.3,82,"73",632,315,487
"BOZEL","73350",,6.65,45.45,"PM",2,2871.0,2.0,82,"73",632,315,487
"BRIDES-LES-BAINS","73570",,6.566667,45.45,"PM",5,264.0,0.6,82,"73",632,315,487
"CEVINS","73730",,6.466667,45.583333,"PM",1,3251.0,0.7,82,"73",632,315,487
"CHALLES-LES-EAUX","73190",,5.983333,45.55,"PM",2,561.0,5.1,82,"73",632,315,487
"LA CHAMBRE","73130",,6.3,45.366667,"PM",1,301.0,1.2,82,"73",632,315,487
"CHANAZ","73310",,5.783333,45.8,"PM",1,735.0,0.5,82,"73",632,315,487
"LES CHAPELLES","73700",,6.733333,45.583333,"PM",1,1724.0,0.5,82,"73",632,315,487
"CREST-VOLAND","73590",,6.5,45.8,"PM",1,999.0,0.4,82,"73",632,315,487
"CRUET","73800",,6.083333,45.516667,"PM",1,994.0,1.0,82,"73",632,315,487
"FOURNEAUX","73500",,6.65,45.191667,"PM",1,1258.0,0.6,82,"73",594,342,1443
"FOURNEAUX","73500",,6.65,45.191667,"PM",1,1258.0,0.6,82,"73",632,315,487
"FOURNEAUX","73500",,6.65,45.191667,"PM",1,339.0,0.1,25,"73",613,349,443
"FOURNEAUX","73500",,6.65,45.191667,"PM",1,339.0,0.1,25,"73",632,315,487
"FOURNEAUX","73500",,6.65,45.191667,"PM",1,504.0,0.8,82,"73",632,315,487
"FRENEY","73500",,6.633333,45.2,"PM",1,1109.0,0.1,82,"73",632,315,487
"HAUTELUCE","73620",,6.583333,45.75,"PM",5,6253.0,0.9,82,"73",632,315,487
"JACOB-BELLECOMBETTE","73000",,5.916667,45.55,"PM",1,242.0,4.0,82,"73",632,315,487
"LANDRY","73210",,6.75,45.566667,"PM",1,1053.0,0.7,82,"73",632,315,487
"LANSLEBOURG-MONT-CENIS","73480",,6.866667,45.283333,"PM",1,10086.0,0.6,82,"73",632,315,487
"MODANE","73500",,6.666667,45.2,"PM",2,7455.0,3.6,82,"73",632,315,487
"MONTVALEZAN","73700",,6.833333,45.616667,"PM",3,2592.0,0.7,82,"73",632,315,487
"LA MOTTE-SERVOLEX","73290",,5.883333,45.6,"PM",4,2956.0,11.4,82,"73",632,315,487
"MOUTIERS","73600",,6.533333,45.483333,"PM",5,2149.0,0.2,24,"73",555,305,329
"MOUTIERS","73600",,6.533333,45.483333,"PM",5,2149.0,0.2,24,"73",632,315,487
"MOUTIERS","73600",,6.533333,45.483333,"PM",5,1784.0,0.9,53,"73",878,555,2076
"MOUTIERS","73600",,6.533333,45.483333,"PM",5,1784.0,0.9,53,"73",632,315,487
"MOUTIERS","73600",,6.533333,45.483333,"PM",5,313.0,3.9,82,"73",632,315,487
"MOUTIERS","73600",,6.533333,45.483333,"PM",5,677.0,1.8,41,"73",605,333,1406
"MOUTIERS","73600",,6.533333,45.483333,"PM",5,677.0,1.8,41,"73",632,315,487
"PEISEY-NANCROIX","73210",,6.75,45.55,"PM",1,7243.0,0.7,82,"73",632,315,487
"LE PONT-DE-BEAUVOISIN","73330",,5.666667,45.533333,"PM",1,738.0,3.4,82,"73",1536,891,1124
"LE PONT-DE-BEAUVOISIN","73330",,5.666667,45.533333,"PM",1,738.0,3.4,82,"73",632,315,487
"LE PONT-DE-BEAUVOISIN","73330",,5.666667,45.533333,"PM",1,184.0,2.0,82,"73",632,315,487
"PRALOGNAN-LA-VANOISE","73710",,6.716667,45.383333,"PM",1,10605.0,0.8,82,"73",632,315,487
"LA RAVOIRE","73490",,5.966667,45.55,"PM",5,660.0,7.5,82,"73",632,315,487
"LA ROCHETTE","73110",,6.108333,45.458333,"PM",2,1412.0,0.1,82,"73",550,308,176
"LA ROCHETTE","73110",,6.108333,45.458333,"PM",2,1412.0,0.1,82,"73",632,315,487
"LA ROCHETTE","73110",,6.108333,45.458333,"PM",2,464.0,3.4,82,"73",632,315,487
"LA ROCHETTE","73110",,6.108333,45.458333,"PM",2,586.0,3.0,11,"73",632,315,487
"LA ROCHETTE","73110",,6.108333,45.458333,"PM",2,586.0,3.0,11,"73",920,463,3773
"LA ROCHETTE","73110",,6.108333,45.458333,"PM",2,1115.0,0.6,54,"73",426,251,280
"LA ROCHETTE","73110",,6.108333,45.458333,"PM",2,1115.0,0.6,54,"73",632,315,487
"LA ROCHETTE","73110",,6.108333,45.458333,"PM",2,1865.0,0.1,93,"73",431,223,133
"LA ROCHETTE","73110",,6.108333,45.458333,"PM",2,1865.0,0.1,93,"73",632,315,487
"LA ROCHETTE","73110",,6.108333,45.458333,"PM",2,1027.0,0.4,93,"73",329,169,202
"LA ROCHETTE","73110",,6.108333,45.458333,"PM",2,1027.0,0.4,93,"73",632,315,487
"ROGNAIX","73730",,6.45,45.583333,"PM",1,882.0,0.4,82,"73",632,315,487
"SAINT-BALDOPH","73190",,5.95,45.533333,"PM",1,611.0,3.0,82,"73",632,315,487
"SAINT-BON-TARENTAISE","73120",,6.633333,45.433333,"PM",25,5881.0,1.9,82,"73",632,315,487
"SAINTE-FOY-TARENTAISE","73640",,6.883333,45.583333,"PM",1,11007.0,0.8,82,"73",632,315,487
"SAINT-JEAN-DE-MAURIENNE","73300",,6.35,45.283333,"PM",6,1148.0,8.4,82,"73",632,315,487
"SAINT-MARTIN-DE-BELLEVILLE","73440",,6.5,45.383333,"PM",29,16259.0,2.5,82,"73",632,315,487
"SAINT-MARTIN-DE-LA-PORTE","73140",,6.45,45.233333,"PM",1,1922.0,0.7,82,"73",632,315,487
"SAINT-MICHEL-DE-MAURIENNE","73140",,6.466667,45.216667,"PM",1,3624.0,2.8,82,"73",632,315,487
"SAINT-PIERRE-D'ALBIGNY","73250",,6.15,45.566667,"PM",4,1916.0,3.7,82,"73",632,315,487
"SAINT-SORLIN-D'ARVES","73530",,6.233333,45.216667,"PM",1,4439.0,0.3,82,"73",632,315,487
"TIGNES","73320",,6.916667,45.5,"PM",21,9113.0,2.2,82,"73",632,315,487
"UGINE","73400",,6.416667,45.75,"PM",4,5753.0,7.0,82,"73",632,315,487
"VALLOIRE","73450",,6.4262,45.165,"PM",2,13759.0,1.3,82,"73",632,315,487
"VALMEINIER","73450",,6.483333,45.183333,"PM",1,5478.0,0.4,82,"73",632,315,487
"VILLAREMBERT","73300",,6.283333,45.25,"PM",1,952.0,0.3,82,"73",632,315,487
"VILLARODIN-BOURGET","73500",,6.716667,45.2,"PM",1,3293.0,0.5,82,"73",632,315,487
"VILLAROGER","73640",,6.866667,45.583333,"PM",1,3436.0,0.4,82,"73",632,315,487
"YENNE","73170",,5.766667,45.7,"PM",1,2327.0,2.9,82,"73",632,315,487
"ANNECY","74000",,6.116667,45.9,"PM",60,1595.0,50.3,82,"74",968,517,544
"ANNECY-LE-VIEUX","74940",,6.15,45.916667,"PM",11,1775.0,19.8,82,"74",968,517,544
"ANNEMASSE","74100",,6.25,46.2,"PM",30,494.0,31.3,82,"74",968,517,544
"CHAMONIX-MONT-BLANC","74400",,6.866667,45.916667,"PM",14,24545.0,9.1,82,"74",968,517,544
"CLUSES","74300",,6.6,46.066667,"PM",13,1045.0,17.5,82,"74",968,517,544
"COMBLOUX","74920",,6.65,45.9,"PM",1,1732.0,2.1,82,"74",968,517,544
"FAUCIGNY","74130",,6.366667,46.116667,"PM",9,494.0,0.5,82,"74",968,517,544
"DOUSSARD","74210",,6.216667,45.766667,"PM",1,2262.0,3.5,82,"74",968,517,544
"DOUVAINE","74140",,6.3,46.316667,"PM",2,1055.0,4.9,82,"74",968,517,544
"FAVERGES","74210",,6.3,45.75,"PM",5,2585.0,6.7,82,"74",968,517,544
"FILLINGES","74250",,6.333333,46.166667,"PM",2,1166.0,3.1,82,"74",968,517,544
"GAILLARD","74240",,6.216667,46.183333,"PM",14,390.0,11.1,82,"74",968,517,544
"LA BALME-DE-SILLINGY","74330",,6.033333,45.966667,"PM",2,1627.0,4.9,82,"74",968,517,544
"LA CLUSAZ","74220",,6.416667,45.9,"PM",3,4067.0,1.9,82,"74",968,517,544
"LA ROCHE-SUR-FORON","74800",,6.316667,46.066667,"PM",4,1792.0,10.3,82,"74",968,517,544
"LE GRAND-BORNAND","74450",,6.433333,45.95,"PM",5,6104.0,2.2,82,"74",968,517,544
"LES CONTAMINES-MONTJOIE","74170",,6.733333,45.833333,"PM",1,8149.0,1.2,82,"74",968,517,544
"LES GETS","74260",,6.666667,46.15,"PM",6,3000.0,1.3,82,"74",968,517,544
"LES HOUCHES","74310",,6.8,45.883333,"PM",1,4689.0,3.1,82,"74",968,517,544
"MAGLAND","74300",,6.616667,46.016667,"PM",1,4029.0,3.1,82,"74",968,517,544
"MARNAZ","74460",,6.533333,46.066667,"PM",2,905.0,5.2,82,"74",968,517,544
"MENTHON-SAINT-BERNARD","74290",,6.2,45.85,"PM",1,663.0,1.9,82,"74",968,517,544
"MESSERY","74140",,6.3,46.35,"PM",2,924.0,2.1,82,"74",968,517,544
"METZ-TESSY","74370",,6.1,45.933333,"PM",5,521.0,2.6,82,"74",968,517,544
"MEYTHET","74960",,6.1,45.933333,"PM",5,329.0,8.5,82,"74",968,517,544
"MORZINE","74110",,6.716667,46.183333,"PM",3,4402.0,2.9,82,"74",968,517,544
"PASSY","74480",,6.683333,45.916667,"PM",7,567.0,0.3,26,"74",968,517,544
"PASSY","74480",,6.683333,45.916667,"PM",7,567.0,0.3,26,"74",587,321,573
"PASSY","74480",,6.683333,45.916667,"PM",7,8004.0,11.5,82,"74",968,517,544
"PASSY","74480",,6.683333,45.916667,"PM",7,438.0,0.1,26,"74",730,415,607
"PASSY","74480",,6.683333,45.916667,"PM",7,438.0,0.1,26,"74",968,517,544
"POISY","74330",,6.066667,45.916667,"PM",2,1143.0,6.5,82,"74",968,517,544
"RUMILLY","74150",,5.95,45.866667,"PM",11,711.0,0.3,31,"74",1059,595,3483
"RUMILLY","74150",,5.95,45.866667,"PM",11,711.0,0.3,31,"74",968,517,544
"RUMILLY","74150",,5.95,45.866667,"PM",11,1696.0,13.2,82,"74",968,517,544
"SAINT-JEOIRE","74490",,6.466667,46.15,"PM",1,2269.0,3.2,82,"74",968,517,544
"SAINT-JORIOZ","74410",,6.166667,45.833333,"PM",5,2282.0,5.7,82,"74",968,517,544
"SAINT-JULIEN-EN-GENEVOIS","74160",,6.083333,46.133333,"PM",7,1061.0,11.6,82,"74",968,517,544
"SALLANCHES","74700",,6.633333,45.933333,"PM",6,6558.0,15.6,82,"74",968,517,544
"SCIEZ","74140",,6.383333,46.333333,"PM",2,2035.0,5.3,82,"74",968,517,544
"SCIONZIER","74950",,6.566667,46.05,"PM",2,1053.0,7.1,82,"74",968,517,544
"SEYNOD","74600",,6.083333,45.883333,"PM",10,1902.0,17.8,82,"74",968,517,544
"SAINT-GERVAIS-LES-BAINS","74190",,6.716667,45.9,"PM",3,8642.0,5.7,82,"74",968,517,544
"TALLOIRES","74290",,6.216667,45.85,"PM",1,2550.0,1.7,82,"74",968,517,544
"THONON-LES-BAINS","74200",,6.483333,46.366667,"PM",27,1639.0,33.5,82,"74",968,517,544
"THYEZ","74300",,6.533333,46.083333,"PM",4,970.0,5.6,82,"74",968,517,544
"VALLEIRY","74520",,5.966667,46.116667,"PM",1,689.0,3.1,82,"74",968,517,544
"VEIGY-FONCENEX","74140",,6.25,46.266667,"PM",1,1301.0,3.4,82,"74",968,517,544
"VILLE-LA-GRAND","74100",,6.25,46.2,"PM",6,445.0,7.6,82,"74",968,517,544
"VIRY","74580",,6.033333,46.116667,"PM",1,2563.0,0.9,43,"74",507,259,148
"VIRY","74580",,6.033333,46.116667,"PM",1,2563.0,0.9,43,"74",968,517,544
"VIRY","74580",,6.033333,46.116667,"PM",1,2587.0,3.5,82,"74",968,517,544
"VIRY","74580",,6.033333,46.116667,"PM",1,2019.0,0.2,26,"74",730,415,607
"VIRY","74580",,6.033333,46.116667,"PM",1,2019.0,0.2,26,"74",968,517,544
"VIUZ-EN-SALLAZ","74250",,6.416667,46.15,"PM",2,2092.0,3.9,82,"74",968,517,544
"VULBENS","74520",,5.933333,46.1,"PM",3,1239.0,0.9,82,"74",968,517,544
"YVOIRE","74140",,6.333333,46.366667,"PM",6,313.0,0.8,82,"74",968,517,544
"AMFREVILLE-LA-MI-VOIE","76920",,1.116667,49.4,"PM",2,392.0,3.1,23,"76",980,515,2859
"ARQUES-LA-BATAILLE","76880",,1.133333,49.883333,"PM",1,1482.0,2.5,23,"76",980,515,2859
"AUMALE","76390",,1.75,49.766667,"PM",1,900.0,2.4,23,"76",980,515,2859
"BARENTIN","76360",,0.95,49.55,"PM",5,1278.0,12.2,23,"76",980,515,2859
"BERNEVAL-LE-GRAND","76370",,1.183333,49.966667,"PM",2,559.0,1.3,23,"76",980,515,2859
"BLANGY-SUR-BRESLE","76340",,1.633333,49.933333,"PM",3,1749.0,3.0,23,"76",980,515,2859
"BOLBEC","76210",,0.483333,49.566667,"PM",1,1233.0,11.7,23,"76",980,515,2859
"BOLLEVILLE","76210",,0.566667,49.6,"PM",1,623.0,0.4,25,"76",613,349,443
"BOLLEVILLE","76210",,0.566667,49.6,"PM",1,623.0,0.4,25,"76",980,515,2859
"BOLLEVILLE","76210",,0.566667,49.6,"PM",1,981.0,0.5,23,"76",980,515,2859
"BONSECOURS","76240",,1.133333,49.433333,"PM",4,371.0,6.7,23,"76",980,515,2859
"CAMPNEUSEVILLE","76340",,1.666667,49.866667,"PM",1,1249.0,0.5,23,"76",980,515,2859
"CANTELEU","76380",,1.033333,49.45,"PM",5,1764.0,14.7,23,"76",980,515,2859
"CANY-BARVILLE","76450",,0.633333,49.783333,"PM",2,1360.0,3.1,23,"76",980,515,2859
"CAUVILLE","76930",,0.133333,49.6,"PM",1,591.0,0.1,25,"76",760,412,782
"CAUVILLE","76930",,0.133333,49.6,"PM",1,591.0,0.1,25,"76",980,515,2859
"CRIEL-SUR-MER","76910",,1.316667,50.016667,"PM",2,2130.0,2.7,23,"76",980,515,2859
"CRIQUETOT-L'ESNEVAL","76280",,0.266667,49.65,"PM",1,1371.0,2.3,23,"76",980,515,2859
"DIEPPE","76200",,1.083333,49.933333,"PM",14,1216.0,32.7,23,"76",980,515,2859
"DOUDEVILLE","76560",,0.8,49.716667,"PM",1,1456.0,2.6,23,"76",980,515,2859
"DUCLAIR","76480",,0.883333,49.483333,"PM",1,1001.0,4.1,23,"76",980,515,2859
"ELBEUF","76500",,1.0,49.283333,"PM",7,1648.0,17.3,23,"76",980,515,2859
"ENVERMEU","76630",,1.266667,49.9,"PM",1,1439.0,2.1,23,"76",980,515,2859
"EU","76260",,1.416667,50.05,"PM",6,1797.0,7.4,23,"76",980,515,2859
"FAUVILLE-EN-CAUX","76640",,0.583333,49.65,"PM",2,822.0,2.1,23,"76",980,515,2859
"FONTAINE-LA-MALLET","76290",,0.15,49.533333,"PM",1,639.0,2.7,23,"76",980,515,2859
"FORGES-LES-EAUX","76440",,1.55,49.616667,"PM",1,525.0,3.5,23,"76",980,515,2859
"GOURNAY-EN-BRAY","76220",,1.733333,49.483333,"PM",3,1035.0,6.4,23,"76",980,515,2859
"GRAND-COURONNE","76530",,1.0,49.35,"PM",5,1691.0,9.6,23,"76",980,515,2859
"GRUCHET-LE-VALASSE","76210",,0.483333,49.55,"PM",2,1429.0,2.7,23,"76",980,515,2859
"HARFLEUR","76700",,0.2,49.5,"PM",2,420.0,8.1,23,"76",980,515,2859
"HAUTOT-SUR-MER","76550",,1.033333,49.9,"PM",1,953.0,2.0,23,"76",980,515,2859
"HOUPPEVILLE","76770",,1.083333,49.516667,"PM",1,2089.0,2.5,23,"76",980,515,2859
"INCHEVILLE","76117",,1.5,50.016667,"PM",1,788.0,1.4,23,"76",980,515,2859
"LE GRAND-QUEVILLY","76120",,1.033333,49.416667,"PM",12,1103.0,25.2,23,"76",980,515,2859
"LE HAVRE","76620",,0.133333,49.5,"PM",105,5471.0,177.3,23,"76",980,515,2859
"LE MESNIL-ESNARD","76240",,1.15,49.416667,"PM",3,522.0,6.9,23,"76",980,515,2859
"LE PETIT-QUEVILLY","76140",,1.033333,49.433333,"PM",6,436.0,21.7,23,"76",980,515,2859
"LONGUEVILLE-SUR-SCIE","76590",,1.1,49.8,"PM",1,381.0,1.0,23,"76",980,515,2859
"MALAUNAY","76770",,1.033333,49.533333,"PM",2,927.0,5.9,23,"76",980,515,2859
"MAROMME","76150",,1.033333,49.466667,"PM",5,415.0,11.4,23,"76",980,515,2859
"MONTIVILLIERS","76290",,0.2,49.55,"PM",4,1905.0,16.5,23,"76",980,515,2859
"MONT-SAINT-AIGNAN","76130",,1.083333,49.466667,"PM",13,793.0,19.7,23,"76",980,515,2859
"NOTRE-DAME-DE-BONDEVILLE","76960",,1.05,49.483333,"PM",1,635.0,7.1,23,"76",980,515,2859
"OCTEVILLE-SUR-MER","76930",,0.116667,49.55,"PM",2,2092.0,5.7,23,"76",980,515,2859
"OFFRANVILLE","76550",,1.05,49.866667,"PM",1,1731.0,3.3,23,"76",980,515,2859
"OISSEL","76350",,1.1,49.333333,"PM",3,2222.0,11.6,23,"76",980,515,2859
"ORIVAL","76500",,0.983333,49.3,"PM",1,544.0,0.2,54,"76",426,251,280
"ORIVAL","76500",,0.983333,49.3,"PM",1,544.0,0.2,54,"76",980,515,2859
"ORIVAL","76500",,0.983333,49.3,"PM",1,953.0,0.9,23,"76",980,515,2859
"PAVILLY","76570",,0.966667,49.566667,"PM",4,1432.0,6.2,23,"76",980,515,2859
"PONTS-ET-MARAIS","76260",,1.45,50.05,"PM",1,591.0,0.8,23,"76",980,515,2859
"ROGERVILLE","76700",,0.266667,49.5,"PM",3,1027.0,1.3,23,"76",980,515,2859
"ROUEN","76100",,1.083333,49.433333,"PM",102,2142.0,110.7,23,"76",980,515,2859
"ROUXMESNIL-BOUTEILLES","76370",,1.083333,49.9,"PM",1,575.0,2.1,23,"76",980,515,2859
"SAINTE-ADRESSE","76310",,0.083333,49.5,"PM",5,230.0,7.6,23,"76",980,515,2859
"SAINT-NICOLAS-D'ALIERMONT","76510",,1.216667,49.883333,"PM",1,1557.0,3.7,23,"76",980,515,2859
"SAINT-ROMAIN-DE-COLBOSC","76430",,0.366667,49.533333,"PM",3,1176.0,3.8,23,"76",980,515,2859
"LE TRAIT","76580",,0.816667,49.466667,"PM",5,1768.0,5.3,23,"76",980,515,2859
"TORCY-LE-GRAND","76590",,1.183333,49.8,"PM",1,877.0,0.7,23,"76",980,515,2859
"TORCY-LE-GRAND","76590",,1.183333,49.8,"PM",1,752.0,0.4,21,"76",482,229,440
"TORCY-LE-GRAND","76590",,1.183333,49.8,"PM",1,752.0,0.4,21,"76",980,515,2859
"VALMONT","76540",,0.516667,49.733333,"PM",1,562.0,1.0,23,"76",980,515,2859
"VALMONT","76540",,0.516667,49.733333,"PM",1,922.0,3.3,41,"76",1055,607,2517
"VALMONT","76540",,0.516667,49.733333,"PM",1,922.0,3.3,41,"76",980,515,2859
"VEULES-LES-ROSES","76980",,0.8,49.866667,"PM",1,530.0,0.6,23,"76",980,515,2859
"YVETOT","76190",,0.766667,49.616667,"PM",5,748.0,11.9,23,"76",980,515,2859
"AVON","77210",,2.716667,48.4,"PM",8,1261.0,0.1,54,"77",920,463,3773
"AVON","77210",,2.716667,48.4,"PM",8,1261.0,0.1,54,"77",441,257,198
"AVON","77210",,2.716667,48.4,"PM",8,381.0,13.9,11,"77",920,463,3773
"BAGNEAUX-SUR-LOING","77167",,2.7,48.233333,"PM",1,532.0,1.7,11,"77",920,463,3773
"BAILLY-ROMAINVILLIERS","77700",,2.816667,48.833333,"PM",7,779.0,6.1,11,"77",920,463,3773
"BOIS-LE-ROI","77590",,2.7,48.466667,"PM",3,550.0,1.0,23,"77",847,466,366
"BOIS-LE-ROI","77590",,2.7,48.466667,"PM",3,550.0,1.0,23,"77",920,463,3773
"BOIS-LE-ROI","77590",,2.7,48.466667,"PM",3,694.0,5.6,11,"77",920,463,3773
"BOISSISE-LE-ROI","77310",,2.566667,48.533333,"PM",1,711.0,3.6,11,"77",920,463,3773
"BOURRON-MARLOTTE","77780",,2.7,48.333333,"PM",1,1125.0,2.8,11,"77",920,463,3773
"BRAY-SUR-SEINE","77480",,3.233333,48.416667,"PM",3,213.0,2.4,11,"77",920,463,3773
"BRIE-COMTE-ROBERT","77170",,2.616667,48.683333,"PM",14,1992.0,16.2,11,"77",920,463,3773
"BROU-SUR-CHANTEREINE","77177",,2.633333,48.883333,"PM",2,438.0,4.2,11,"77",920,463,3773
"BUSSY-SAINT-GEORGES","77600",,2.7,48.85,"PM",50,1525.0,22.2,11,"77",920,463,3773
"CESSON","77240",,2.6,48.566667,"PM",6,697.0,8.3,11,"77",920,463,3773
"CHAMPAGNE-SUR-SEINE","77430",,2.8,48.4,"PM",1,731.0,6.4,11,"77",920,463,3773
"LA CHAPELLE-GAUTHIER","77720",,2.9,48.55,"PM",1,1719.0,1.4,11,"77",920,463,3773
"LA CHAPELLE-GAUTHIER","77720",,2.9,48.55,"PM",1,1658.0,0.4,23,"77",847,466,366
"LA CHAPELLE-GAUTHIER","77720",,2.9,48.55,"PM",1,1658.0,0.4,23,"77",920,463,3773
"CHARTRETTES","77590",,2.7,48.483333,"PM",1,1011.0,2.5,11,"77",920,463,3773
"CHAUMES-EN-BRIE","77390",,2.85,48.666667,"PM",2,2000.0,3.0,11,"77",920,463,3773
"CHELLES","77500",,2.6,48.883333,"PM",42,903.0,0.5,22,"77",1145,679,539
"CHELLES","77500",,2.6,48.883333,"PM",42,903.0,0.5,22,"77",920,463,3773
"CHELLES","77500",,2.6,48.883333,"PM",42,1601.0,52.6,11,"77",920,463,3773
"CHESSY","77700",,2.766667,48.883333,"PM",4,578.0,4.2,11,"77",920,463,3773
"CHESSY","77700",,2.766667,48.883333,"PM",4,451.0,1.7,82,"77",1064,642,5858
"CHESSY","77700",,2.766667,48.883333,"PM",4,451.0,1.7,82,"77",920,463,3773
"CLAYE-SOUILLY","77410",,2.7,48.95,"PM",14,1509.0,11.1,11,"77",920,463,3773
"COMBS-LA-VILLE","77380",,2.566667,48.666667,"PM",14,1456.0,21.4,11,"77",920,463,3773
"COUILLY-PONT-AUX-DAMES","77860",,2.866667,48.883333,"PM",1,475.0,2.1,11,"77",920,463,3773
"COULOMMIERS","77120",,3.083333,48.816667,"PM",8,1095.0,14.2,11,"77",920,463,3773
"COUPVRAY","77700",,2.8,48.9,"PM",5,809.0,2.8,11,"77",920,463,3773
"COURTRY","77181",,2.766667,48.533333,"PM",6,414.0,6.0,11,"77",920,463,3773
"CROUY-SUR-OURCQ","77840",,3.066667,49.083333,"PM",1,1933.0,1.7,11,"77",920,463,3773
"DAMPMART","77400",,2.733333,48.883333,"PM",1,592.0,3.1,11,"77",920,463,3773
"ESBLY","77450",,2.816667,48.9,"PM",3,309.0,5.7,11,"77",920,463,3773
"FONTAINEBLEAU","77300",,2.7,48.4,"PM",12,17237.0,15.3,11,"77",920,463,3773
"GOUAIX","77114",,3.283333,48.483333,"PM",2,1412.0,1.4,11,"77",920,463,3773
"LA GRANDE-PAROISSE","77130",,2.9,48.383333,"PM",1,2901.0,2.6,11,"77",920,463,3773
