CODGEO	REG	DEP	ARR	LIBGEO	P10_POP
02153	22	02	022	Cessières	470
02154	22	02	024	Chacrise	312
02155	22	02	022	Chaillevois	188
02156	22	02	022	Chalandry	217
02157	22	02	022	Chambry	718
02158	22	02	022	Chamouille	260
02159	22	02	022	Champs	293
02160	22	02	022	Chaourse	535
02161	22	02	021	La Chapelle-Monthodon	189
02162	22	02	021	La Chapelle-sur-Chézy	281
02163	22	02	021	Charly-sur-Marne	2739
02164	22	02	021	Le Charmel	322
02165	22	02	022	Charmes	1659
02166	22	02	021	Chartèves	368
02167	22	02	024	Chassemy	803
02168	22	02	021	Château-Thierry	14480
02169	22	02	022	Châtillon-lès-Sons	81
02170	22	02	023	Châtillon-sur-Oise	129
02171	22	02	022	Chaudardes	88
02172	22	02	024	Chaudun	261
02173	22	02	022	Chauny	11983
02174	22	02	024	Chavignon	762
02175	22	02	024	Chavigny	153
02176	22	02	024	Chavonne	193
02177	22	02	022	Chérêt	125
02178	22	02	022	Chermizy-Ailles	96
02179	22	02	024	Chéry-Chartreuve	341
02180	22	02	022	Chéry-lès-Pouilly	673
02181	22	02	022	Chéry-lès-Rozoy	105
02182	22	02	025	Chevennes	142
02183	22	02	022	Chevregny	192
02184	22	02	023	Chevresis-Monceau	356
02185	22	02	021	Chézy-en-Orxois	360
02186	22	02	021	Chézy-sur-Marne	1327
02187	22	02	021	Chierry	1055
02188	22	02	025	Chigny	155
02189	22	02	022	Chivres-en-Laonnois	367
02190	22	02	024	Chivres-Val	585
02191	22	02	022	Chivy-lès-Étouvelles	503
02192	22	02	021	Chouy	395
02193	22	02	021	Cierges	74
02194	22	02	022	Cilly	222
02195	22	02	024	Ciry-Salsogne	842
02196	22	02	022	Clacy-et-Thierret	346
02197	22	02	025	Clairfontaine	569
02198	22	02	024	Clamecy	223
02199	22	02	023	Clastres	611
02200	22	02	022	Clermont-les-Fermes	120
02201	22	02	024	Coeuvres-et-Valsery	462
02203	22	02	021	Coincy	1310
02204	22	02	025	Coingt	77
02205	22	02	022	Colligis-Crandelain	181
02206	22	02	025	Colonfay	71
02207	22	02	022	Commenchon	191
02208	22	02	022	Concevreux	259
02209	22	02	021	Condé-en-Brie	656
02210	22	02	024	Condé-sur-Aisne	417
02211	22	02	022	Condé-sur-Suippe	229
02212	22	02	022	Condren	707
02213	22	02	021	Connigis	325
02214	22	02	023	Contescourt	66
02215	22	02	022	Corbeny	745
02216	22	02	024	Corcy	310
02217	22	02	022	Coucy-le-Château-Auffrique	1076
02218	22	02	022	Coucy-lès-Eppes	576
02219	22	02	022	Coucy-la-Ville	213
02220	22	02	021	Coulonges-Cohan	428
02221	22	02	021	Coupru	186
02222	22	02	022	Courbes	34
02223	22	02	021	Courboin	296
02224	22	02	024	Courcelles-sur-Vesle	345
02225	22	02	021	Courchamps	89
02226	22	02	024	Courmelles	1700
02227	22	02	021	Courmont	110
02228	22	02	021	Courtemont-Varennes	298
02229	22	02	022	Courtrizy-et-Fussigny	67
02230	22	02	024	Couvrelles	189
02231	22	02	022	Couvron-et-Aumencourt	1325
02232	22	02	024	Coyolles	388
02233	22	02	024	Cramaille	130
02234	22	02	022	Craonne	76
02235	22	02	022	Craonnelle	111
02236	22	02	022	Crécy-au-Mont	289
02237	22	02	022	Crécy-sur-Serre	1454
02238	22	02	022	Crépy	1896
02239	22	02	021	Crézancy	1110
02240	22	02	023	Croix-Fonsomme	227
02241	22	02	021	La Croix-sur-Ourcq	124
02242	22	02	021	Crouttes-sur-Marne	645
02243	22	02	024	Crouy	2716
02244	22	02	025	Crupilly	66
02245	22	02	024	Cuffies	1686
02246	22	02	023	Cugny	576
02248	22	02	022	Cuirieux	161
02249	22	02	024	Cuiry-Housse	107
02250	22	02	022	Cuiry-lès-Chaudardes	84
02251	22	02	022	Cuiry-lès-Iviers	37
02252	22	02	022	Cuissy-et-Geny	66
02253	22	02	024	Cuisy-en-Almont	317
02254	22	02	024	Cutry	115
02255	22	02	024	Cys-la-Commune	152
02256	22	02	022	Dagny-Lambercy	132
02257	22	02	023	Dallon	377
02258	22	02	021	Dammard	416
02259	22	02	024	Dampleux	437
02260	22	02	022	Danizy	569
02261	22	02	022	Dercy	367
02262	22	02	022	Deuillet	234
02263	22	02	024	Dhuizel	115
02264	22	02	022	Dizy-le-Gros	790
02265	22	02	022	Dohis	92
02266	22	02	022	Dolignon	59
02267	22	02	024	Dommiers	287
02268	22	02	021	Domptin	673
02269	22	02	025	Dorengt	157
02270	22	02	023	Douchy	150
02271	22	02	021	Dravegny	144
02272	22	02	024	Droizy	75
02273	22	02	023	Dury	196
02274	22	02	022	Ébouleau	206
02275	22	02	025	Effry	353
02276	22	02	025	Englancourt	118
02277	22	02	024	Épagny	341
02278	22	02	025	Éparcy	44
02279	22	02	021	Épaux-Bézu	588
02280	22	02	021	Épieds	389
02281	22	02	021	L'Épine-aux-Bois	259
02282	22	02	022	Eppes	411
02283	22	02	022	Erlon	292
02284	22	02	025	Erloy	92
02286	22	02	025	Esquéhéries	850
02287	22	02	023	Essigny-le-Grand	1109
02288	22	02	023	Essigny-le-Petit	377
02289	22	02	021	Essises	430
02290	22	02	021	Essômes-sur-Marne	2741
02291	22	02	023	Estrées	416
02292	22	02	021	Étampes-sur-Marne	1164
02293	22	02	023	Étaves-et-Bocquiaux	556
02294	22	02	022	Étouvelles	223
02295	22	02	025	Étréaupont	895
02296	22	02	023	Étreillers	1199
02297	22	02	021	Étrépilly	81
02298	22	02	025	Étreux	1509
